GeoFips,GDP (Thousands of dollars),In labor force,Unemployment Rate,Retail trade,"Transportation and warehousing, and utilities",Administrative and support and waste management services,"Educational services, and health care and social assistance",Accommodation and food services
29223,244420,4656,9.02,23689,53676,19698,33348,10568
29225,756505,16344,4.69,39479,55875,31411,32355,19450
29227,65222,964,3.84,22404,31094,,37750,29688
29229,417381,7280,8.04,22773,30096,25714,26946,18167
29510,32631130,167945,8.27,32428,48980,30007,41426,25990
17001,3676937,34121,4.75,29111,49360,36181,40957,25965
17003,199171,2385,7.0,18470,42803,29531,30881,55338
17005,617298,7812,3.85,30917,61250,37083,35899,31964
17007,1931882,27675,6.82,26972,63120,42926,50600,30625
17009,445261,2559,4.34,30000,54647,,43750,33750
17011,1340134,16940,5.31,35758,54439,32222,41217,20848
17013,121332,2157,5.1,45592,51875,24196,44464,27344
17015,506844,7064,6.61,31087,55156,35341,40525,25595
17017,675352,6556,6.31,25843,49116,21500,33094,18971
17019,11675933,108838,4.78,34668,50642,37756,50027,26109
17021,1475299,15498,3.42,33496,52512,29857,40147,21780
17023,638351,8299,6.34,36090,52422,9934,39818,17014
17025,648382,6448,5.51,31103,53047,85045,32875,22750
17027,1310475,19378,3.35,37292,56818,31136,41343,30852
17029,2562035,26520,5.73,31336,52250,23877,38816,25026
17031,411671713,2765106,7.77,37326,50985,35378,51900,28942
17033,2875018,8457,5.4,36250,53036,35385,38871,25714
17035,360077,5454,3.37,29286,51429,19773,38516,34375
17037,4120286,56673,7.44,32639,53843,41379,45111,25729
17039,1232780,8614,5.48,30110,61343,31273,41618,19779
17041,1100374,9805,4.31,31579,52639,43000,40258,17273
17043,91380287,513461,4.54,42309,57014,46312,59569,31900
17045,834905,8839,6.03,32379,54485,25724,38925,21692
17047,309969,3239,6.05,31786,50208,45481,37955,18125
17049,2256812,18059,3.93,32533,53798,34076,37369,23052
17051,657542,9274,6.98,33560,57446,15000,35179,20938
17053,809178,6618,5.33,29479,57135,30278,44650,29519
17055,1362520,16966,8.48,31062,44900,36750,40736,23015
17057,1036608,16170,6.71,30292,58259,27379,37076,23934
17059,252143,2240,4.51,32727,36302,31250,32763,
17061,400008,6275,3.97,31915,53125,33750,34531,14688
17063,3506911,26392,5.07,38485,63199,44732,48040,32560
17065,473389,3762,3.16,27750,52552,7125,55597,27404
17067,704037,8681,6.17,28429,47237,34844,40118,35139
17069,116883,1640,15.91,17083,43553,,29737,26250
17071,206080,3462,5.63,23542,54875,31513,28646,21875
17073,1618888,24175,5.14,31319,59224,44245,39093,22115
17075,1098282,14045,5.59,33589,48088,46786,40072,19353
17077,3168157,27692,9.44,32703,44028,32344,44346,25221
17079,593232,4633,4.06,37900,47656,30455,36136,20341
17081,1876992,17439,7.36,33417,44620,32917,42118,20982
17083,562841,11127,4.05,31806,55453,42308,42401,14765
17085,910082,11232,4.47,35208,52417,31797,38952,26859
17087,258342,4128,5.69,29896,54327,65250,45878,23333
17089,24667680,281764,5.51,38469,55218,31347,52958,26329
17091,4936861,53832,6.0,33870,53054,41786,46840,23956
17093,3303924,67387,4.85,41549,63072,49328,54337,38547
17095,1954851,22546,5.66,30411,63472,42500,36648,18363
17097,67701128,381084,5.41,41323,55557,37789,54485,27421
17099,6108769,55162,6.77,35125,63945,36061,44532,22015
17101,520370,6760,6.32,36250,53625,31167,33382,25750
17103,1677724,16172,4.4,34526,58295,32458,42061,23600
17105,1846437,17236,5.4,31567,53000,32308,39087,24375
17107,1176274,13201,5.64,28854,54797,33500,41006,30701
17109,1298699,14589,7.63,29157,42262,29500,43532,15793
17111,11534353,171051,4.42,45814,61182,47832,53739,28269
17113,13155115,93765,3.52,35490,53129,35426,46112,22311
17115,7349716,52181,8.17,30895,54073,30717,43462,22011
17117,1288245,22251,7.06,35278,54266,39446,39860,21218
17119,12118321,135194,6.83,37823,54041,37365,46619,25309
17121,1533670,18482,9.45,32096,54744,45526,38763,21078
17123,444189,5752,6.05,32326,60938,43750,41809,23214
17125,626649,6699,7.85,27147,50000,47292,36182,24375
17127,784074,5949,5.58,28621,58571,36429,32075,28500
17129,316865,6412,4.91,35057,53864,50938,50396,20809
17131,445984,7828,5.48,30986,51632,28750,36688,24167
17133,1031460,18508,3.11,40590,74125,48710,54333,20547
17135,1426046,11821,4.86,32244,56983,36563,39375,21361
17137,1601326,16660,5.94,29083,53333,45000,36532,23125
17139,743762,7182,3.2,46220,54650,43472,35980,21902
17141,3066694,26447,5.92,32449,55152,42500,42415,22788
17143,13521905,90508,7.9,33201,46273,31572,42655,22391
17145,768271,8585,6.8,47621,51856,40799,40530,27107
17147,528937,8957,4.15,34500,56176,27500,43937,31400
17149,641646,7330,5.39,34432,44811,43300,35232,18664
17151,102042,1501,15.59,40337,40875,31029,39797,15208
17153,263742,2055,9.34,25263,39655,21250,29957,31950
17155,377544,3107,3.6,36429,58500,26667,43259,22750
17157,1650387,13659,5.04,31784,55957,30592,39864,20365
17159,1058155,7706,5.83,35543,51138,39615,35286,18107
17161,11711580,72968,6.49,34787,53420,33317,40823,22819
17163,11942370,131032,6.96,34414,52540,32200,41793,23911
17165,893041,10796,9.82,29119,50000,25446,37500,16797
17167,11873339,101894,6.28,32659,57151,32060,44805,27442
17169,280987,3039,5.5,26354,50714,34000,34688,26667
17171,197150,2512,6.73,31250,70000,16750,38393,22188
17173,835983,10848,4.62,30764,56467,31450,34200,19637
17175,247009,2598,3.46,41146,61500,30375,44394,
17177,2133891,22879,7.13,31660,54750,27457,39301,24739
17179,9406637,66300,4.27,37047,51317,42165,42826,26363
17181,495647,7657,6.65,31815,54948,31528,41073,27829
17183,3623054,34131,7.45,32160,51468,35179,41150,23625
17185,405980,5657,5.87,25119,50875,26802,30347,24271
17187,820734,8669,6.66,29196,53065,53750,39349,33125
17189,1080178,7437,4.25,31777,55833,36250,40688,21979
17191,629450,7795,3.49,28102,46360,31250,35125,27000
17193,586678,6433,7.88,30743,43508,34178,43015,14046
17195,2330100,27880,5.28,37078,53410,39263,36185,20917
17197,31475135,367773,5.15,37922,59451,38823,54828,29934
17199,3105878,30742,5.87,34530,51968,27377,46319,21899
17201,14817252,146107,9.11,32010,52218,28091,44789,26731
17203,1267496,19619,4.09,40379,51905,36250,50297,20781
