"CAINC6N Compensation of Employees by NAICS Industry"
"(Thousands of dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2018"
"17000","Illinois","1601","        Ambulatory health care services",20166286
"17000","Illinois","1602","        Hospitals",20136757
"17000","Illinois","1603","        Nursing and residential care facilities",5725954
"17000","Illinois","1604","        Social assistance",4393710
"17000","Illinois","1700","      Arts, entertainment, and recreation",4516603
"17000","Illinois","1701","        Performing arts, spectator sports, and related industries",1877215
"17000","Illinois","1702","        Museums, historical sites, and similar institutions",398297
"17000","Illinois","1703","        Amusement, gambling, and recreation industries",2241091
"17000","Illinois","1800","      Accommodation and food services",15148209
"17000","Illinois","1801","        Accommodation",2542731
"17000","Illinois","1802","        Food services and drinking places",12605478
"17000","Illinois","1900","      Other services (except government and government enterprises)",15306572
"17000","Illinois","1901","        Repair and maintenance",3195433
"17000","Illinois","1902","        Personal and laundry services",2582676
"17000","Illinois","1903","        Religious, grantmaking, civic, professional, and similar organizations",8779793
"17000","Illinois","1904","        Private households",748670
"17000","Illinois","2000","    Government and government enterprises",71176222
"17000","Illinois","2001","      Federal civilian",9236963
"17000","Illinois","2002","      Military",2720496
"17000","Illinois","2010","      State and local",59218763
"17000","Illinois","2011","        State government",13282024
"17000","Illinois","2012","        Local government",45936739
"29000","Missouri","","Total compensation of employees",""
"29000","Missouri","1","Compensation of employees (thousands of dollars) 1/",184228979
"29000","Missouri","5","  Wages and salaries",148624132
"29000","Missouri","6","  Supplements to wages and salaries",35604847
"29000","Missouri","7","    Employer contributions for employee pension and insurance funds 2/",25252749
"29000","Missouri","8","    Employer contributions for government social insurance",10352098
"29000","Missouri","9","Average compensation per job (dollars) 3/",62108
"29000","Missouri","","Compensation of employees by industry",""
"29000","Missouri","81","  Farm compensation",344490
"29000","Missouri","82","  Nonfarm compensation",183884489
"29000","Missouri","90","    Private nonfarm compensation",153365783
"29000","Missouri","100","      Forestry, fishing, and related activities",240184
"29000","Missouri","101","        Forestry and logging",11687
"29000","Missouri","102","        Fishing, hunting and trapping",775
"29000","Missouri","103","        Support activities for agriculture and forestry",227722
"29000","Missouri","200","      Mining, quarrying, and oil and gas extraction",354314
"29000","Missouri","201","        Oil and gas extraction",1176
"29000","Missouri","202","        Mining (except oil and gas)",332568
"29000","Missouri","203","        Support activities for mining",20570
"29000","Missouri","300","      Utilities",1626505
"29000","Missouri","400","      Construction",9002293
"29000","Missouri","401","        Construction of buildings",2103393
"29000","Missouri","402","        Heavy and civil engineering construction",1308990
"29000","Missouri","403","        Specialty trade contractors",5589910
"29000","Missouri","500","      Manufacturing",21000880
"29000","Missouri","510","        Durable goods manufacturing",13247406
"29000","Missouri","511","          Wood product manufacturing",385722
"29000","Missouri","512","          Nonmetallic mineral product manufacturing",573622
"29000","Missouri","513","          Primary metal manufacturing",518856
"29000","Missouri","514","          Fabricated metal product manufacturing",2024422
"29000","Missouri","515","          Machinery manufacturing",2007471
"29000","Missouri","516","          Computer and electronic product manufacturing",1060608
"29000","Missouri","517","          Electrical equipment, appliance, and component manufacturing",886413
"29000","Missouri","518","          Motor vehicles, bodies and trailers, and parts manufacturing",2049207
"29000","Missouri","519","          Other transportation equipment manufacturing",2736246
"29000","Missouri","521","          Furniture and related product manufacturing",383240
"29000","Missouri","522","          Miscellaneous manufacturing",621599
"29000","Missouri","530","        Nondurable goods manufacturing",7753474
"29000","Missouri","531","          Food manufacturing",2594945
"29000","Missouri","532","          Beverage and tobacco product manufacturing",490308
"29000","Missouri","533","          Textile mills",27082
"29000","Missouri","534","          Textile product mills",88066
"29000","Missouri","535","          Apparel manufacturing",83597
"29000","Missouri","536","          Leather and allied product manufacturing",59426
"29000","Missouri","537","          Paper manufacturing",506234
"29000","Missouri","538","          Printing and related support activities",641406
"29000","Missouri","539","          Petroleum and coal products manufacturing",173179
"29000","Missouri","541","          Chemical manufacturing",1996640
"29000","Missouri","542","          Plastics and rubber products manufacturing",1092591
"29000","Missouri","600","      Wholesale trade",10073924
"29000","Missouri","700","      Retail trade",11217036
"29000","Missouri","701","        Motor vehicle and parts dealers",2301255
"29000","Missouri","702","        Furniture and home furnishings stores",352300
"29000","Missouri","703","        Electronics and appliance stores",378968
"29000","Missouri","704","        Building material and garden equipment and supplies dealers",1173100
"29000","Missouri","705","        Food and beverage stores",1415188
"29000","Missouri","706","        Health and personal care stores",930840
"29000","Missouri","707","        Gasoline stations",754440
"29000","Missouri","708","        Clothing and clothing accessories stores",461882
"29000","Missouri","709","        Sporting goods, hobby, musical instrument, and book stores",280526
"29000","Missouri","711","        General merchandise stores",2028812
"29000","Missouri","712","        Miscellaneous store retailers",455486
"29000","Missouri","713","        Nonstore retailers",684239
"29000","Missouri","800","      Transportation and warehousing",6517166
"29000","Missouri","801","        Air transportation",388760
"29000","Missouri","802","        Rail transportation",826771
"29000","Missouri","803","        Water transportation",36094
"29000","Missouri","804","        Truck transportation",2664088
"29000","Missouri","805","        Transit and ground passenger transportation",274979
"29000","Missouri","806","        Pipeline transportation",44054
"29000","Missouri","807","        Scenic and sightseeing transportation",17038
"29000","Missouri","808","        Support activities for transportation",809011
"29000","Missouri","809","        Couriers and messengers",601222
"29000","Missouri","811","        Warehousing and storage",855149
"29000","Missouri","900","      Information",4864774
"29000","Missouri","901","        Publishing industries (except Internet)",733986
"29000","Missouri","902","        Motion picture and sound recording industries",125517
"29000","Missouri","903","        Broadcasting (except Internet)",439350
"29000","Missouri","904","        Internet publishing and broadcasting 4/","(NA)"
"29000","Missouri","905","        Telecommunications",1624488
"29000","Missouri","906","        Data processing, hosting, and related services",1814661
"29000","Missouri","907","        Other information services 4/",126772
"29000","Missouri","1000","      Finance and insurance",13565138
"29000","Missouri","1001","        Monetary Authorities-central bank","(D)"
"29000","Missouri","1002","        Credit intermediation and related activities",4703620
"29000","Missouri","1003","        Securities, commodity contracts, and other financial investments and related activities",2951219
"29000","Missouri","1004","        Insurance carriers and related activities",5571958
"29000","Missouri","1005","        Funds, trusts, and other financial vehicles","(D)"
"29000","Missouri","1100","      Real estate and rental and leasing",2087335
"29000","Missouri","1101","        Real estate",1508171
"29000","Missouri","1102","        Rental and leasing services",551088
"29000","Missouri","1103","        Lessors of nonfinancial intangible assets (except copyrighted works)",28076
"29000","Missouri","1200","      Professional, scientific, and technical services",15148943
"29000","Missouri","1300","      Management of companies and enterprises",8708966
"29000","Missouri","1400","      Administrative and support and waste management and remediation services",7357439
"29000","Missouri","1401","        Administrative and support services",6912794
"29000","Missouri","1402","        Waste management and remediation services",444645
"29000","Missouri","1500","      Educational services",3200927
"29000","Missouri","1600","      Health care and social assistance",24209720
"29000","Missouri","1601","        Ambulatory health care services",9388116
"29000","Missouri","1602","        Hospitals",9706020
"29000","Missouri","1603","        Nursing and residential care facilities",2749176
"29000","Missouri","1604","        Social assistance",2366408
"29000","Missouri","1700","      Arts, entertainment, and recreation",2025775
"29000","Missouri","1701","        Performing arts, spectator sports, and related industries",1062066
"29000","Missouri","1702","        Museums, historical sites, and similar institutions",123234
"29000","Missouri","1703","        Amusement, gambling, and recreation industries",840475
