GeoFips,retail_trade,transportation_warehousing,admin_support_waste,educational_services,accommodation_food,frontline
17007,1794,1618,1224,160,1112,5908
17009,0,843,0,88,0,931
17011,1535,2482,0,0,788,4805
17013,144,52,48,0,144,388
17015,660,303,241,0,361,1565
17017,635,0,374,8,0,1017
17019,10796,4599,5572,1932,10446,33345
17021,1718,0,0,0,747,2465
17023,692,230,192,14,557,1685
17025,637,0,251,0,291,1179
17027,2337,628,0,208,1239,4412
17029,3032,612,3330,224,2147,9345
17031,266676,274641,273811,133408,262701,1211237
17033,1040,180,0,0,473,1693
17035,606,135,80,9,0,830
17037,6250,0,3023,624,3384,13281
17039,897,0,446,15,484,1842
17041,1205,0,319,79,805,2408
17043,68207,44898,69337,21425,47481,251348
17045,833,264,184,0,411,1692
17047,261,0,0,8,0,269
17049,3502,1410,752,238,2521,8423
17051,940,0,301,0,764,2005
17053,620,247,183,0,257,1307
17055,1742,413,673,64,1089,3981
17057,1512,299,0,52,622,2485
17059,105,191,60,11,61,428
17061,497,0,133,0,0,630
17063,4175,1701,927,346,1760,8909
17065,270,116,0,11,0,397
17067,663,253,260,0,0,1176
17069,92,60,0,9,0,161
17071,183,70,0,8,0,261
17073,2395,805,642,129,1173,5144
17075,1727,0,365,0,557,2649
17077,3816,851,0,414,2709,7790
17079,408,161,74,0,0,643
17081,2970,2013,1179,230,2024,8416
17083,1043,0,200,0,746,1989
17085,1343,0,399,0,1579,3321
17087,285,0,174,0,0,459
17089,25391,9295,25497,5576,18614,84373
17091,6478,3076,3981,1554,4028,19117
17093,6265,3878,2057,803,3473,16476
17095,3159,0,871,0,2113,6143
17097,47214,15090,35361,9353,28311,135329
17099,7010,3265,2512,536,4660,17983
17101,478,0,161,12,0,651
17103,1668,479,554,0,851,3552
17105,1868,1159,323,134,887,4371
17107,1247,0,0,670,846,2763
17109,1596,0,292,126,1104,3118
17111,16616,0,10219,2402,9911,39148
17113,10654,0,6377,2264,10469,29764
17115,6139,3618,0,1038,4820,15615
17117,2017,649,502,0,972,4140
17119,15203,13748,5521,1573,11851,47896
17121,1591,1378,508,118,1134,4729
17123,419,0,99,12,259,789
17125,461,0,109,11,0,581
17127,435,0,0,11,799,1245
17129,450,0,126,32,129,737
17131,554,0,207,0,216,977
17133,1571,0,828,311,1477,4187
17135,1696,297,373,46,1072,3484
17137,2363,642,0,1030,1503,5538
17139,542,337,138,0,273,1290
17141,2477,1558,873,0,1393,6301
17143,11589,2668,9449,3097,8270,35073
17145,784,333,255,0,419,1791
17147,629,0,181,0,564,1374
17149,767,0,158,31,374,1330
17151,0,0,0,0,37,37
17153,177,89,0,0,0,266
17155,191,180,0,12,76,459
17157,1767,0,799,0,896,3462
17159,890,1255,177,68,533,2923
17161,8782,0,6006,2982,6105,23875
17163,15575,6778,5114,2529,11223,41219
17165,1392,582,0,42,768,2784
17167,13854,2653,8589,2543,10011,37650
17169,251,76,51,11,0,389
17171,121,64,0,0,101,286
17173,937,0,0,53,536,1526
17175,236,136,0,12,0,384
17177,2350,0,1443,209,1352,5354
17179,8147,4091,1851,603,6217,20909
17181,884,164,0,0,453,1501
17183,4135,1950,1985,316,2284,10670
17185,456,0,0,0,277,733
17187,795,513,225,0,595,2128
17189,923,0,0,0,0,923
17191,728,0,118,0,387,1233
17193,847,0,0,0,372,1219
17195,3029,1692,1443,499,1945,8608
17197,37416,35229,23993,7190,23612,127440
17199,4292,1057,2569,170,3049,11137
17201,17230,8082,12656,2489,11779,52236
17203,1684,0,461,351,976,3472
17998,632625,457910,522300,207590,"512,635",2333060
17999,78309,34597,26939,7908,"44,692",192445
14010,10654,0,6377,2264,10469,29764
16020,7679,1666,0,595,0,9940
16060,8393,"1,908",0,584,"5,758",16643
16580,11425,0,5753,0,11010,28188
16980,528800,416553,469260,190574,0,1605187
19180,4135,1950,1985,316,2284,10670
19340,25939,8590,14247,0,17669,66445
19500,6139,3618,0,1038,4820,15615
28100,6478,3076,3981,1554,4028,19117
37900,23587,7887,0,4127,0,35601
40420,19024,9700,13880,2649,12891,58144
41180,172956,77403,110526,56472,138553,555910
44100,14304,0,8715,2575,10140,35734
15460,3607,1387,"1,057",272,"1,897",8220
16460,1591,1378,508,118,1134,4729
16660,3638,747,3410,233,"2,147",10175
19940,1668,479,554,0,851,3552
20820,3502,1410,752,238,2521,8423
22800,3213,1169,1461,246,0,6089
23300,2350,0,1443,209,1352,5354
23660,3159,0,871,0,2113,6143
27300,2484,706,465,"1,030",1604,6289
30660,1247,0,0,670,846,2763
31380,1596,0,292,126,1104,3118
34500,2970,2013,1179,230,2024,8416
36837,8736,5927,2912,548,5524,23647
37140,8130,4013,3275,428,"5,817",21663
38700,1868,1159,323,134,887,4371
39500,5819,1607,"1,741",0,"3,020",12187
40300,2477,1558,873,0,1393,6301
44580,3029,1692,1443,499,1945,8608
45380,1718,0,0,0,747,2465
89145,12522,0,6700,2398,11356,32976
89161,6820,2556,"2,518",518,3528,15940
89164,9329,3174,"3,551",0,"5,695",21749
89176,550403,"415,810",479031,"193,203","448,459",2086906
89209,31375,11032,18004,"6,713",20899,88023
89221,4697,2171,1997,0,2796,11661
89424,10098,0,3901,557,"6,763",21319
89448,9117,"2,250",2651,1514,4807,20339
89466,23851,"11,258",16196,"2,858",15636,69799
89476,178413,79643,113123,56812,141942,569933
89522,19753,4382,9948,4380,13337,51800
16984,393090,"356,469",378287,164771,345465,1638082
20994,37906,0,30577,7003,25471,100957
29404,57734,22654,41267,10903,35252,167810
